P1,37.75153,-122.39447
P2,37.75149,-122.39447
P3,37.75149,-122.39447
P4,37.75149,-122.39446
P5,37.75144,-122.39449
P6,37.75151,-122.39453
P7,37.75137,-122.39502
P8,37.75139,-122.39498
P9,37.7514,-122.39495
P10,37.7514,-122.39496
P11,37.75141,-122.39497
P12,37.7514,-122.39496
P13,37.75067,-122.39533
P14,37.74978,-122.39709
P15,37.74977,-122.39724
P16,37.74896,-122.40619
P17,37.74831,-122.41335
P18,37.75157,-122.414
P19,37.75552,-122.41438
P20,37.7558,-122.41441
P21,37.76172,-122.41496
P22,37.76523,-122.41528999999998
P23,37.76511,-122.41935
P24,37.76342,-122.41992
P25,37.76086,-122.41933
P26,37.75702,-122.41898
P27,37.7527,-122.41858
P28,37.75212,-122.42082
P29,37.75223,-122.42231
P30,37.75221,-122.4223
P31,37.75221,-122.42231
P32,37.75221,-122.42231
P33,37.75169,-122.42291000000002
P34,37.75042,-122.4221
P35,37.7505,-122.42086
P36,37.7506,-122.42088
P37,37.75054,-122.42087
P38,37.7505,-122.42086
P39,37.75066,-122.42087
P40,37.75054,-122.42085
P41,37.75052,-122.42085
P42,37.75053,-122.42086
P43,37.75053,-122.42086
P44,37.75086,-122.42154
P45,37.75206,-122.42259
P46,37.75176,-122.42712
P47,37.75158,-122.43101
P48,37.75177,-122.43095
P49,37.75177,-122.43095
P50,37.75153,-122.43113999999998
P51,37.75147,-122.43172
P52,37.75125,-122.42963
P53,37.75178,-122.42671
P54,37.75213,-122.42098
P55,37.75064,-122.4204
P56,37.75073,-122.4176
P57,37.75088,-122.41402
P58,37.74833,-122.41486
P59,37.74893,-122.41811
P60,37.75383,-122.41859
P61,37.75883,-122.41904
P62,37.76259,-122.41945
P63,37.76501,-122.41972
P64,37.76663,-122.41982
P65,37.76999,-122.42001
P66,37.77145,-122.41967
P67,37.77219,-122.41853
P68,37.77175,-122.41835
P69,37.77175,-122.41844
P70,37.77153,-122.4184
P71,37.77156,-122.41849
P72,37.77181,-122.41836
P73,37.77173,-122.41838
P74,37.77156,-122.41834
P75,37.77188,-122.41825
P76,37.77181,-122.41833
P77,37.77181,-122.41833
P78,37.77021,-122.41783999999998
P79,37.76163,-122.4062
P80,37.74817,-122.40419
P81,37.73494,-122.4067
P82,37.72219000000001,-122.40072
P83,37.70913,-122.39521
P84,37.69591,-122.39228
P85,37.68265,-122.38929
P86,37.66953,-122.39309
P87,37.6598,-122.4047
P88,37.64637000000001,-122.40658
P89,37.63317,-122.40364
P90,37.6201,-122.40016
P91,37.6148,-122.39173
